Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Pris,URL,ID,Nybygg,Eieform,Enhetsid,Solforhold,Utendørsareal,Tomteareal,Bruttoareal,Rom,Ant etasjer,Tomt,Renovert år,Areal,dato:21.06: ca. sol fra 15:30 - 21:30,Boligselgerforsikring,Grunnflate
Leilighet,Eier (Selveier),3,134,142,2,2021,,11790000,https://www.finn.no/realestate/homes/ad.html?finnkode=234599010,234599010,0,,,,,,,4,,,,,,,
Leilighet,,3,107 ,115,3.,2021,,7300000,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238920898&page=1&sort=PUBLISHED_DESC,238920898,1,Eier (Selveier),,Lyst og fint beliggende store vindusflater mot syd og med vestvendt balkong.,,,,4,5,,,,,,
Leilighet,Andel,2,62,65,2,2004,D - rød,890000,https://www.finn.no/realestate/homes/ad.html?finnkode=238922790,238922790,0,,,,,,,,,,,,,,
Leilighet,,1 - 3,85.0,,,2021,,5925000.0,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=236874843&page=1&sort=PUBLISHED_DESC,236874843,1,Eier (Selveier),,,,,,,,,,51 - 119 m²,,,
Enebolig,Eier (Selveier),4,445,455,,1938,G - rød,28900000,https://www.finn.no/realestate/homes/ad.html?finnkode=238922712,238922712,0,,,,,1855 m² (eiet),,,,,,,,,
Tomannsbolig,Eier (Selveier),2,79,84,1,2001,D - oransje,2990000,https://www.finn.no/realestate/homes/ad.html?finnkode=237756990,237756990,0,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),2,110,110,2,1993,C - rød,18000000,https://www.finn.no/realestate/homes/ad.html?finnkode=238813422,238813422,0,,,,,,,,,,,,,,
Leilighet,Andel,1,54,54,2,1949,G - oransje,1350000,https://www.finn.no/realestate/homes/ad.html?finnkode=238409001,238409001,0,,,,,,,,,,,,,,
Leilighet,Andel,1,66,66,1,1984,F - rød,3050000,https://www.finn.no/realestate/homes/ad.html?finnkode=238921445,238921445,0,,,,,,,,,,,,,,
Leilighet,Andel,2,71,77,4,2019,C - mørkegrønn,4190000,https://www.finn.no/realestate/homes/ad.html?finnkode=238921479,238921479,0,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),2,68,72,1,2007,D - rød,2840000,https://www.finn.no/realestate/homes/ad.html?finnkode=233798935,233798935,0,,,,,,,,,,,,,,
Leilighet,Andel,2,71,71,3,1952,F - oransje,6380000,https://www.finn.no/realestate/homes/ad.html?finnkode=238909348,238909348,0,,,,,,,,,,,,,,
Leilighet,,2,58 ,62,3.,2021,,3690000,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238920588&page=1&sort=PUBLISHED_DESC,238920588,1,Eier (Selveier),3302,Vestvendt beliggenhet.,Stor terrasse med glassrekkverk. Skjermet beliggenhet inn mot takhagen.,,,,,,,,,,
Leilighet,Andel,1,20,20,5,1939,D - mørkegrønn,2700000,https://www.finn.no/realestate/homes/ad.html?finnkode=238519535,238519535,0,,,,,,,,,,,,,,
Tomannsbolig,Andel,3,115,121,,1978,,1870000,https://www.finn.no/realestate/homes/ad.html?finnkode=238740119,238740119,0,,,,,,,,,,,,,,
Tomannsbolig,Andel,3,170 ,121,,2021,,7990000,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238915507&page=1&sort=PUBLISHED_DESC,238915507,1,,,,,,,,,,,,,,
Enebolig,Eier (Selveier),4,209,282,,1910,G - gul,5050000,https://www.finn.no/realestate/homes/ad.html?finnkode=235349796,235349796,0,,,,,967 m² (eiet),,,,,,,,,
Leilighet,Eier (Selveier),0,30,33,2,2019,C - mørkegrønn,2600000,https://www.finn.no/realestate/homes/ad.html?finnkode=232999527,232999527,0,,,,,,,,,,,,,,
Tomannsbolig,Eier (Selveier),3,125,170,,1900,,3800000,https://www.finn.no/realestate/homes/ad.html?finnkode=238901290,238901290,0,,,,,775 m² (eiet),198 m²,,,,,,,,
Tomannsbolig,Eier (Selveier),3,125,170,,1900,,450000,https://www.finn.no/realestate/homes/ad.html?finnkode=238919741,238919741,0,,,,,775 m² (eiet),198 m²,,,,,,,,
Rekkehus,Eier (Selveier),3,167,175,,1980,E - gul,4490000,https://www.finn.no/realestate/homes/ad.html?finnkode=238919466,238919466,0,,,,,124 m² (eiet),,,,,,,,,
Rekkehus,Eier (Selveier),3,167,175,,1980,E - gul,1950000,https://www.finn.no/realestate/homes/ad.html?finnkode=238835844,238835844,0,,,,,124 m² (eiet),,,,,,,,,
Leilighet,Eier (Selveier),3,102,105,3,2018,,5990000,https://www.finn.no/realestate/homes/ad.html?finnkode=215840836,215840836,0,,,,,5099 m² (eiet),,,,,,,,,
Enebolig,Eier (Selveier),3,184,207,2,1962,F - gul,6490000,https://www.finn.no/realestate/homes/ad.html?finnkode=238801477,238801477,0,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),2,68,68,,2007,D - rød,3190000,https://www.finn.no/realestate/homes/ad.html?finnkode=238919078,238919078,0,,,,,8420 m² (eiet),,,,,,,,,
Gårdsbruk/Småbruk,Eier (Selveier),1,63,63,1,2021,G - rød,1000000,https://www.finn.no/realestate/homes/ad.html?finnkode=238899888,238899888,0,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),1,43,46,-2,2020,D - mørkegrønn,3900000,https://www.finn.no/realestate/homes/ad.html?finnkode=238812647,238812647,0,,,,,,,,,,,,,,
Leilighet,Andel,3,82,82,2,1962,,1990000,https://www.finn.no/realestate/homes/ad.html?finnkode=238918300,238918300,0,,,,,,,4,,,,,,,
Leilighet,Andel,3,67,70,4,1961,E - rød,3590000,https://www.finn.no/realestate/homes/ad.html?finnkode=238918213,238918213,0,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),1,59,64,1,2016,B - mørkegrønn,3300000,https://www.finn.no/realestate/homes/ad.html?finnkode=238812334,238812334,0,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),1,48,48,3,2006,D - mørkegrønn,2650000,https://www.finn.no/realestate/homes/ad.html?finnkode=238917624,238917624,0,,,,,,,,,,,,,,
