Pris,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,URL,ID,Dager siden annonse,Nybygg,Fylke,Omkostninger,Totalpris,Kommunale avg.,Formuesverdi,Tomteareal,Aircondition,Alarm,Balkong/Terrasse,Takterasse,Barnevennlig,Bredbåndstilknytning,Fellesvaskeri,Garasje/P-plass,Heis,Ingen gjenboerer,Kabel-TV,Lademulighet,Livsløpsstandard,Moderne,Offentlig vann/kloakk,Parkett,Peis/Ildsted,Rolig,Sentralt,Utsikt,Vaktmester-/vektertjeneste,Bademulighet,Fiskemulighet,Turterreng
3100000,Leilighet,Andel,3,115,122,2,1994,F - rød,https://www.finn.no/realestate/homes/ad.html?finnkode=245398757,245398757,"4 days, 0:00:00",0,Innlandet,8012,3219261,,772049,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6990000,Tomannsbolig,Eier (Selveier),4,174,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=236876435&location=0.22034&page=1&sort=PUBLISHED_DESC,236876435,"90 days, 0:00:00",1,Innlandet,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2748000,Tomannsbolig,Eier (Selveier),2,75,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=129208754&location=0.22034&page=1&sort=PUBLISHED_DESC,129208754,0:00:00,1,Innlandet,10500,2758500,,,,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
4790000,Tomannsbolig,Eier (Selveier),3,106,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=133918067&location=0.22034&page=1&sort=PUBLISHED_DESC,133918067,0:00:00,1,Innlandet,23800,4813800,,,,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
4590000,Tomannsbolig,Eier (Selveier),3,95,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=133922030&location=0.22034&page=1&sort=PUBLISHED_DESC,133922030,0:00:00,1,Innlandet,23800,4613800,,,,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
3012500.0,,,,53.5,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=209618501&location=0.22034&page=1&sort=PUBLISHED_DESC,209618501,0,1,Innlandet,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3290000,Leilighet,Eier (Selveier),2,85,89,1,1990,E - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=246152613,246152613,0:00:00,0,Innlandet,94012,3393203,14877,821505,3760,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1
5690000,Enebolig,Eier (Selveier),4,113,118,,2021,,https://www.finn.no/realestate/homes/ad.html?finnkode=246149081,246149081,"1 day, 0:00:00",0,Innlandet,,,,,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1
1290000,Enebolig,Eier (Selveier),2,132,206,,1966,F - gul,https://www.finn.no/realestate/homes/ad.html?finnkode=233735831,233735831,0:00:00,0,Innlandet,46272,1336272,7863,289256,1468,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
2750000,Leilighet,Eier (Selveier),2,96,96,,2017,B - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=246135235,246135235,0:00:00,0,Innlandet,80292,2830292,,821321,13625,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2450000,Leilighet,Andel,2,65,67,3,1963,,https://www.finn.no/realestate/homes/ad.html?finnkode=246106933,246106933,"1 day, 0:00:00",0,Innlandet,1132,2773722,,601509,13898,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1
6500000,Enebolig,Eier (Selveier),3,200,236,,1921,G - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=238510925,238510925,"1 day, 0:00:00",0,Innlandet,163872,6663872,10114,450394,3680,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1
4590000,Rekkehus,Eier (Selveier),4,96,100,,2015,C - mørkegrønn,https://www.finn.no/realestate/homes/ad.html?finnkode=246127993,246127993,0:00:00,0,Innlandet,123770,4713770,27100,1137167,10146,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1
2300000,Leilighet,Andel,2,70,83,1,2002,D - rød,https://www.finn.no/realestate/homes/ad.html?finnkode=245279065,245279065,"1 day, 0:00:00",0,Innlandet,1162,2761162,,659101,3670,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
