Pris,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,URL,ID,Dager siden annonse,Nybygg,Fylke,Omkostninger,Totalpris,Kommunale avg.,Formuesverdi,Tomteareal,Aircondition,Alarm,Balkong/Terrasse,Takterasse,Barnevennlig,Bredbåndstilknytning,Fellesvaskeri,Garasje/P-plass,Heis,Ingen gjenboerer,Kabel-TV,Lademulighet,Livsløpsstandard,Moderne,Offentlig vann/kloakk,Parkett,Peis/Ildsted,Rolig,Sentralt,Utsikt,Vaktmester-/vektertjeneste,Bademulighet,Fiskemulighet,Turterreng
1600000,Leilighet,Andel,2,60,63,1,2006,E - rød,https://www.finn.no/realestate/homes/ad.html?finnkode=245568418,245568418,0:00:00,0,Møre og Romsdal,8032,2266264,,622931,5736,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
3250000,Tomannsbolig,Eier (Selveier),3,87,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=174526919&location=0.20015&page=1&sort=PUBLISHED_DESC,174526919,"4 days, 0:00:00",1,Møre og Romsdal,50000,3300000,,,,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
5670000.0,Leilighet,Eier (Selveier),3,93.5,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=190173496&location=0.20015&page=1&sort=PUBLISHED_DESC,190173496,"19 days, 0:00:00",1,Møre og Romsdal,1477215092,50047726365092,,,,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
850000,Enebolig,Eier (Selveier),2,79,79,,1916,G - rød,https://www.finn.no/realestate/homes/ad.html?finnkode=246001694,246001694,"1 day, 0:00:00",0,Møre og Romsdal,22420,872420,8232,405601,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
380000,Enebolig,Eier (Selveier),3,90,174,2,1967,,https://www.finn.no/realestate/homes/ad.html?finnkode=246160432,246160432,"1 day, 0:00:00",0,Møre og Romsdal,10670,390670,,,1147,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2890000,Gårdsbruk/Småbruk,Eier (Selveier),5,198,210,,1975,E - gul,https://www.finn.no/realestate/homes/ad.html?finnkode=246145155,246145155,"1 day, 0:00:00",0,Møre og Romsdal,78619,2968619,23399,94472,187577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=233393814&location=0.20015&page=1&sort=PUBLISHED_DESC,233393814,0,1,Møre og Romsdal,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6745000,Enebolig,Eier (Selveier),4,157,169,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=246125504&location=0.20015&page=1&sort=PUBLISHED_DESC,246125504,"1 day, 0:00:00",1,Møre og Romsdal,45000,6790000,,,,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
3490000,Tomannsbolig,Eier (Selveier),3,110,112,2,2013,B - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=246114709,246114709,"1 day, 0:00:00",0,Møre og Romsdal,88592,3578592,18942,905714,7368,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1
3150000,Leilighet,Eier (Selveier),1,50,53,3,2019,B - lysegrønn,https://www.finn.no/realestate/homes/ad.html?finnkode=246118876,246118876,"1 day, 0:00:00",0,Møre og Romsdal,80092,3230092,4398,,3231,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1
4790000,Leilighet,Eier (Selveier),2,114,114,3,1980,F - rød,https://www.finn.no/realestate/homes/ad.html?finnkode=236655755,236655755,"1 day, 0:00:00",0,Møre og Romsdal,121092,4911092,2352,,751,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1
1890000,Leilighet,Eier (Selveier),1,,130,1,1989,G - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=246108930,246108930,"1 day, 0:00:00",0,Møre og Romsdal,48592,1938592,,536911,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1
4035000.0,,,,82,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=245406496&location=0.20015&page=1&sort=PUBLISHED_DESC,245406496,0,1,Møre og Romsdal,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000,Rekkehus,Eier (Selveier),3,147,180,,1965,G - gul,https://www.finn.no/realestate/homes/ad.html?finnkode=246084422,246084422,"1 day, 0:00:00",0,Møre og Romsdal,38670,1538670,12558,593890,406,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1
2490000,Enebolig,Eier (Selveier),3,148,177,,1974,F - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=246005076,246005076,"1 day, 0:00:00",0,Møre og Romsdal,77720,2567720,23036,656648,773,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
3600000,Tomannsbolig,Eier (Selveier),5,228,273,,1960,F - gul,https://www.finn.no/realestate/homes/ad.html?finnkode=235877083,235877083,"1 day, 0:00:00",0,Møre og Romsdal,91369,3691369,28732,966879,1213,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
4000000,Leilighet,Eier (Selveier),2,70,74,2.,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=246079625&location=0.20015&page=1&sort=PUBLISHED_DESC,246079625,"1 day, 0:00:00",1,Møre og Romsdal,,,,,,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
1390000,Enebolig,Eier (Selveier),4,82,151,,1939,G - gul,https://www.finn.no/realestate/homes/ad.html?finnkode=230657289,230657289,"1 day, 0:00:00",0,Møre og Romsdal,35920,1425920,,498137,1159,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
5250000.0,Enebolig,Eier (Selveier),3,141,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=246014296&location=0.20015&page=1&sort=PUBLISHED_DESC,246014296,"1 day, 0:00:00",1,Møre og Romsdal,46425042,51046425405042,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1057000,Leilighet,Andel,2,75,79,2.,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=246077533&location=0.20015&page=1&sort=PUBLISHED_DESC,246077533,"1 day, 0:00:00",1,Møre og Romsdal,7925,3507925,,,,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
4165000.0,,,,99.5,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=232986040&location=0.20015&page=1&sort=PUBLISHED_DESC,232986040,0,1,Møre og Romsdal,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5290000,Leilighet,Eier (Selveier),3,121,136,2,2015,B - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=246074259,246074259,"1 day, 0:00:00",0,Møre og Romsdal,133619,5423619,20652,1005331,530,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
