Pris,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,URL,ID,Dager siden annonse,Nybygg,Fylke,Omkostninger,Totalpris,Kommunale avg.,Formuesverdi,Tomteareal,Aircondition,Alarm,Balkong/Terrasse,Takterasse,Barnevennlig,Bredbåndstilknytning,Fellesvaskeri,Garasje/P-plass,Heis,Ingen gjenboerer,Kabel-TV,Lademulighet,Livsløpsstandard,Moderne,Offentlig vann/kloakk,Parkett,Peis/Ildsted,Rolig,Sentralt,Utsikt,Vaktmester-/vektertjeneste,Bademulighet,Fiskemulighet,Turterreng
1900000,Enebolig,Eier (Selveier),3,126,188,,1979,F - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=245974053,245974053,"2 days, 0:00:00",0,Nordland,48670,1948670,,470728,3417,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
2890000,Leilighet,Eier (Selveier),0,25,31,4.,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=246103387&location=0.20018&page=1&sort=PUBLISHED_DESC,246103387,0:00:00,1,Nordland,19620,2909620,,,,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0
3995000.0,Leilighet,Andel,2.0,94.5,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=226536771&location=0.20018&page=1&sort=PUBLISHED_DESC,226536771,"55 days, 0:00:00",1,Nordland,115418505,398615411986154,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2868750.0,Leilighet,Andel,2.0,77.5,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=220446582&location=0.20018&page=1&sort=PUBLISHED_DESC,220446582,0:00:00,1,Nordland,9860,38098608959860,,,,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2600000,Tomannsbolig,Eier (Selveier),3,95,112,,1998,D - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=246151311,246151311,0:00:00,0,Nordland,81842,2681842,10607,599688,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3750000,Leilighet,Eier (Selveier),1,45,57,6,2018,A - mørkegrønn,https://www.finn.no/realestate/homes/ad.html?finnkode=246116993,246116993,"1 day, 0:00:00",0,Nordland,95092,3845092,9352,657061,1633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2600000,Enebolig,Eier (Selveier),4,206,223,2,1973,,https://www.finn.no/realestate/homes/ad.html?finnkode=245916818,245916818,"1 day, 0:00:00",0,Nordland,66342,2666342,,,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3100000,Leilighet,Eier (Selveier),1,39,41,3,2021,C - mørkegrønn,https://www.finn.no/realestate/homes/ad.html?finnkode=246127581,246127581,"1 day, 0:00:00",0,Nordland,78670,3178670,,,1751,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14800000,Enebolig,Eier (Selveier),5,240,246,,1933,B - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=221720325,221720325,0:00:00,0,Nordland,385670,15185670,,1183924,496,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1
5200000,Enebolig,Eier (Selveier),3,147,192,,2012,,https://www.finn.no/realestate/homes/ad.html?finnkode=246126718,246126718,0:00:00,0,Nordland,,,17482,1036536,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400000,Enebolig,Eier (Selveier),3,144,208,,1954,G - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=246125850,246125850,0:00:00,0,Nordland,100642,3500642,9527,492552,1554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3100000,Tomannsbolig,Eier (Selveier),3,157,188,,1960,F - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=246108874,246108874,0:00:00,0,Nordland,90364,3190364,18888,951013,484,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
2800000,Rekkehus,Eier (Selveier),4,115,120,,1983,F - rød,https://www.finn.no/realestate/homes/ad.html?finnkode=246105270,246105270,0:00:00,0,Nordland,81142,2881142,10335,505357,2236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3590000,Rekkehus,Eier (Selveier),2,76,78,,1997,E - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=246085606,246085606,0:00:00,0,Nordland,98742,3688742,14639,766127,2846,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2256140.0,Prosjekt,Andel,2.0,94.5,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=137818970&location=0.20018&page=1&sort=PUBLISHED_DESC,137818970,"61 days, 0:00:00",1,Nordland,,,,,,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
4880000,Leilighet,Andel,3,130,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=200326368&location=0.20018&page=1&sort=PUBLISHED_DESC,200326368,"1 day, 0:00:00",1,Nordland,35960,9335960,,,,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2800000,Tomannsbolig,Eier (Selveier),3,107,111,,1997,D - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=246057020,246057020,0:00:00,0,Nordland,86842,2886842,15900,667265,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2999000,Leilighet,Eier (Selveier),0,25,32,5,2016,,https://www.finn.no/realestate/homes/ad.html?finnkode=246039619,246039619,"2 days, 0:00:00",0,Nordland,76050,3075984,,435632,,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0
,,,,,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=245868711&location=0.20018&page=1&sort=PUBLISHED_DESC,245868711,0,1,Nordland,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=245937013&location=0.20018&page=1&sort=PUBLISHED_DESC,245937013,0,1,Nordland,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3990000,Enebolig,Eier (Selveier),3,171,171,,1969,G - gul,https://www.finn.no/realestate/homes/ad.html?finnkode=245648962,245648962,"2 days, 0:00:00",0,Nordland,100920,4090920,17148,940547,813,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1
2450000,Leilighet,Andel,2,51,51,6,2005,D - rød,https://www.finn.no/realestate/homes/ad.html?finnkode=245641053,245641053,"2 days, 0:00:00",0,Nordland,1132,3194947,,679824,1731,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1
