Pris,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,URL,ID,Dager siden annonse,Nybygg,Fylke,Omkostninger,Totalpris,Kommunale avg.,Formuesverdi,Tomteareal,Aircondition,Alarm,Balkong/Terrasse,Takterasse,Barnevennlig,Bredbåndstilknytning,Fellesvaskeri,Garasje/P-plass,Heis,Ingen gjenboerer,Kabel-TV,Lademulighet,Livsløpsstandard,Moderne,Offentlig vann/kloakk,Parkett,Peis/Ildsted,Rolig,Sentralt,Utsikt,Vaktmester-/vektertjeneste,Bademulighet,Fiskemulighet,Turterreng
4390000,Enebolig,Eier (Selveier),3,106,121,,2020,C - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=245632306,245632306,"2 days, 0:00:00",0,Vestfold og Telemark,125470,4515470,11256,,75,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1
5450000,Enebolig,Eier (Selveier),4,133,164,,2019,C - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=236975351,236975351,0:00:00,0,Vestfold og Telemark,151920,5601920,11557,,1247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976000.0,Leilighet,Andel,2,84.5,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=197011931&location=0.22038&page=1&sort=PUBLISHED_DESC,197011931,0:00:00,1,Vestfold og Telemark,1132,46911325191132,,,,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5482500.0,,,,129,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=236629445&location=0.22038&page=1&sort=PUBLISHED_DESC,236629445,0,1,Vestfold og Telemark,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3810000.0,Leilighet,Eier (Selveier),2.0,74.5,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=233476608&location=0.22038&page=1&sort=PUBLISHED_DESC,233476608,0:00:00,1,Vestfold og Telemark,3845,29338454693845,,,,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
2850000.0,Leilighet,Andel,2.0,87.0,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=216990792&location=0.22038&page=1&sort=PUBLISHED_DESC,216990792,0:00:00,1,Vestfold og Telemark,3951243028,44395129893028,,,,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1
950000,Leilighet,Andel,1,57,58,3,1973,F - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=246152105,246152105,0:00:00,0,Vestfold og Telemark,14910,996803,,337782,13689,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1
2950000,Rekkehus,Andel,3,134,140,3,1952,F - gul,https://www.finn.no/realestate/homes/ad.html?finnkode=240391968,240391968,"1 day, 0:00:00",0,Vestfold og Telemark,1132,3139036,,674364,2784,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1
1100000,Leilighet,Andel,2,68,81,3,1973,E - rød,https://www.finn.no/realestate/homes/ad.html?finnkode=246117770,246117770,"1 day, 0:00:00",0,Vestfold og Telemark,3823,1113326,,501748,21996,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2350000,Leilighet,Eier (Selveier),2,58,58,2,1989,D - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=246137705,246137705,0:00:00,0,Vestfold og Telemark,68790,2460743,8275,501081,9848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
