Pris,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,URL,ID,Dager siden annonse,Nybygg,Fylke,Omkostninger,Totalpris,Kommunale avg.,Formuesverdi,Tomteareal,Aircondition,Alarm,Balkong/Terrasse,Takterasse,Barnevennlig,Bredbåndstilknytning,Fellesvaskeri,Garasje/P-plass,Heis,Ingen gjenboerer,Kabel-TV,Lademulighet,Livsløpsstandard,Moderne,Offentlig vann/kloakk,Parkett,Peis/Ildsted,Rolig,Sentralt,Utsikt,Vaktmester-/vektertjeneste,Bademulighet,Fiskemulighet,Turterreng
2490000,Leilighet,Andel,3,81,81,3,1974,E - rød,https://www.finn.no/realestate/homes/ad.html?finnkode=245798913,245798913,"2 days, 0:00:00",0,Vestland,1132,3084132,,725266,16201,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1
5687500.0,Leilighet,Eier (Selveier),2.5,96.5,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=159993861&location=0.22046&page=1&sort=PUBLISHED_DESC,159993861,"7 days, 0:00:00",1,Vestland,1487021270,39901407421270,,,,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
4750000.0,Leilighet,Eier (Selveier),2,98.5,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=169786717&location=0.22046&page=1&sort=PUBLISHED_DESC,169786717,0:00:00,1,Vestland,840013022,35084006012850,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3348000.0,Enebolig,Eier (Selveier),3,119,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=174920548&location=0.22046&page=1&sort=PUBLISHED_DESC,174920548,0:00:00,1,Vestland,,,,,,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
3000000,Enebolig,Eier (Selveier),3,144,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=65088688&location=0.22046&page=1&sort=PUBLISHED_DESC,65088688,"2309 days, 0:00:00",1,Vestland,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5925000.0,Leilighet,Eier (Selveier),2.0,85.0,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=236874843&location=0.22046&page=1&sort=PUBLISHED_DESC,236874843,0:00:00,1,Vestland,1859029820,28708409029570,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6790000.0,,,,162,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=219842424&location=0.22046&page=1&sort=PUBLISHED_DESC,219842424,0,1,Vestland,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3490000,Rekkehus,Eier (Selveier),3,104,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=226559623&location=0.22046&page=1&sort=PUBLISHED_DESC,226559623,0:00:00,1,Vestland,21342,3511342,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3925000.0,,,,91.0,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=236861612&location=0.22046&page=1&sort=PUBLISHED_DESC,236861612,0,1,Vestland,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8305000.0,Leilighet,Eier (Selveier),2.0,96.5,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=197077960&location=0.22046&page=1&sort=PUBLISHED_DESC,197077960,0:00:00,1,Vestland,154092263842,626409210763842,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
