Pris,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,URL,ID,Dager siden annonse,Nybygg,Fylke,Omkostninger,Totalpris,Kommunale avg.,Formuesverdi,Tomteareal,Aircondition,Alarm,Balkong/Terrasse,Takterasse,Barnevennlig,Bredbåndstilknytning,Fellesvaskeri,Garasje/P-plass,Heis,Ingen gjenboerer,Kabel-TV,Lademulighet,Livsløpsstandard,Moderne,Offentlig vann/kloakk,Parkett,Peis/Ildsted,Rolig,Sentralt,Utsikt,Vaktmester-/vektertjeneste,Bademulighet,Fiskemulighet,Turterreng
2990000,Leilighet,Eier (Selveier),2,64,68,2,2009,E - rød,https://www.finn.no/realestate/homes/ad.html?finnkode=245308845,245308845,"7 days, 0:00:00",0,Viken,76150,3066150,4409,720127,13586,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
3750000,Tomannsbolig,Eier (Selveier),2,87,87,2,1963,D - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=246163791,246163791,0:00:00,0,Viken,95092,3845092,7666,1057228,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3190000,Leilighet,Eier (Selveier),3,107,110,2,2009,E - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=246151767,246151767,0:00:00,0,Viken,81092,3291092,10302,795042,13170,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1
2690000,Leilighet,Eier (Selveier),1,41,46,2,2003,,https://www.finn.no/realestate/homes/ad.html?finnkode=246122182,246122182,0:00:00,0,Viken,68592,2758592,3494,638851,6938,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1
2650000,Leilighet,Andel,2,70,70,2,1961,E - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=246096522,246096522,0:00:00,0,Viken,1132,2979220,,720858,4559,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1
3990000,Enebolig,Eier (Selveier),3,85,92,1,1980,F - rød,https://www.finn.no/realestate/homes/ad.html?finnkode=246122112,246122112,0:00:00,0,Viken,101092,4091092,4850,803866,964,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1
2990000,Leilighet,Andel,2,93,110,2,1973,G - mørkegrønn,https://www.finn.no/realestate/homes/ad.html?finnkode=246097706,246097706,0:00:00,0,Viken,8011,3232178,,906173,18159,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1
5132500.0,Leilighet,Eier (Selveier),2,87.0,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=144850029&location=0.22030&page=1&sort=PUBLISHED_DESC,144850029,"114 days, 0:00:00",1,Viken,7472,49924725287472,,,,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
6790000.0,Rekkehus,Eier (Selveier),4,113.5,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=236846439&location=0.22030&page=1&sort=PUBLISHED_DESC,236846439,0:00:00,1,Viken,47592,66375927037592,,,,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
3583000.0,Leilighet,Eier (Selveier),2,77.0,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=132390736&location=0.22030&page=1&sort=PUBLISHED_DESC,132390736,0:00:00,1,Viken,1660717857,30858574114607,,,,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
