Pris,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,URL,ID,Dager siden annonse,Nybygg,Fylke,Omkostninger,Totalpris,Kommunale avg.,Formuesverdi,Tomteareal,Aircondition,Alarm,Balkong/Terrasse,Takterasse,Barnevennlig,Bredbåndstilknytning,Fellesvaskeri,Garasje/P-plass,Heis,Ingen gjenboerer,Kabel-TV,Lademulighet,Livsløpsstandard,Moderne,Offentlig vann/kloakk,Parkett,Peis/Ildsted,Rolig,Sentralt,Utsikt,Vaktmester-/vektertjeneste,Bademulighet,Fiskemulighet,Turterreng
4750000,Enebolig,Eier (Selveier),3,150,171,,1960,G - rød,https://www.finn.no/realestate/homes/ad.html?finnkode=245545657,245545657,0:00:00,0,Agder,131592,4881592,14432,977262,1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1890000,Leilighet,Eier (Selveier),3,77,77,1,2005,E - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=240380666,240380666,0:00:00,0,Agder,58620,1948620,13650,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3450000,Tomannsbolig,Eier (Selveier),3,103,113,,2006,D - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=216016946,216016946,0:00:00,0,Agder,102120,3552120,11480,683205,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2690000,Enebolig,Eier (Selveier),4,159,164,,,C - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=222452220,222452220,0:00:00,0,Agder,,,4467,478033,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1825000.0,Leilighet,Eier (Selveier),2,59.5,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=245996541&location=0.22042&page=1&sort=PUBLISHED_DESC,245996541,0:00:00,1,Agder,6717,17567171906717,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4690000.0,Leilighet,Eier (Selveier),2.0,59.5,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=200421325&location=0.22042&page=1&sort=PUBLISHED_DESC,200421325,0:00:00,1,Agder,864018320,28986406508320,,,,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
7970000.0,Rekkehus,Eier (Selveier),3.5,154.5,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=181087026&location=0.22042&page=1&sort=PUBLISHED_DESC,181087026,0:00:00,1,Agder,3168535335,76816858325335,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
5540000.0,Leilighet,Eier (Selveier),2.5,119.0,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=157305091&location=0.22042&page=1&sort=PUBLISHED_DESC,157305091,0:00:00,1,Agder,1547224512,45054726614512,,,,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
4220000.0,Leilighet,Eier (Selveier),2,76.5,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=233478329&location=0.22042&page=1&sort=PUBLISHED_DESC,233478329,"19 days, 0:00:00",1,Agder,1492015420,37654204704920,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1650000,Leilighet,Andel,2,67,67,4,1959,G - mørkegrønn,https://www.finn.no/realestate/homes/ad.html?finnkode=246150319,246150319,0:00:00,0,Agder,8032,1830047,,546301,1770,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1
5290000,Leilighet,Eier (Selveier),2,96,96,4,2015,C - rød,https://www.finn.no/realestate/homes/ad.html?finnkode=246142614,246142614,0:00:00,0,Agder,143792,5433792,2764,819237,2831,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
2090000,Leilighet,Eier (Selveier),2,81,81,1,2012,C - rød,https://www.finn.no/realestate/homes/ad.html?finnkode=246119349,246119349,0:00:00,0,Agder,60992,2150992,10158,783226,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
