Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Pris,URL,ID,Nybygg,Enhetsid,Solforhold,Utendørsareal,Tomteareal,Bruttoareal,Rom,Ant etasjer,Tomt,Renovert år,Areal,Boligselgerforsikring,Grunnflate,Festeavgift
Leilighet,Andel,3,70,70,1,1958,G - mørkegrønn,3800000,https://www.finn.no/realestate/homes/ad.html?finnkode=238747778,238747778,0,,,,,,,,,,,,,
Tomannsbolig,Eier (Selveier),4,127,127,,1989,D - gul,3990000,https://www.finn.no/realestate/homes/ad.html?finnkode=239209416,239209416,0,,,,,,,,,2016,,,,
Enebolig,Eier (Selveier),4,115,149,,1938,G - gul,1500000,https://www.finn.no/realestate/homes/ad.html?finnkode=239210837,239210837,0,,,,,,5,,,,,,,
Leilighet,Andel,,24,24,11,1959,D - rød,2350000,https://www.finn.no/realestate/homes/ad.html?finnkode=239230308,239230308,0,,,,,,1,,,,,,,
Rekkehus,Eier (Selveier),3,93,98,,1955,,3850000,https://www.finn.no/realestate/homes/ad.html?finnkode=239229939,239229939,0,,,,156,107,,,,,,,,
Leilighet,Andel,2,63,63,2,1963,F - rød,1750000,https://www.finn.no/realestate/homes/ad.html?finnkode=234293195,234293195,0,,,,,,,,,,,,,
Leilighet,Andel,1,46,50,2,1974,F - oransje,1900000,https://www.finn.no/realestate/homes/ad.html?finnkode=239229595,239229595,0,,,,,,,,,,,,,
Rekkehus,Andel,3,159,166,3,1986,F - oransje,2990000,https://www.finn.no/realestate/homes/ad.html?finnkode=234121211,234121211,0,,,,,,,,,,,,,
Rekkehus,Eier (Selveier),3,99,105,,1975,F - gul,2390000,https://www.finn.no/realestate/homes/ad.html?finnkode=239229340,239229340,0,,,,367,,,,,,,,,
Enebolig,Eier (Selveier),3,91,109,,1933,G - oransje,2490000,https://www.finn.no/realestate/homes/ad.html?finnkode=239229351,239229351,0,,,,,,4,,,,,,,
Enebolig,Eier (Selveier),3,174,178,,1977,F - oransje,4690000,https://www.finn.no/realestate/homes/ad.html?finnkode=239228350,239228350,0,,,,1197,,,,,,,,,
Leilighet,Eier (Selveier),2,66,71,1,2004,C - oransje,1995000,https://www.finn.no/realestate/homes/ad.html?finnkode=238270946,238270946,0,,,,,,,,,,,,,
Enebolig,Eier (Selveier),5,225,260,3,1959,F - oransje,4990000,https://www.finn.no/realestate/homes/ad.html?finnkode=217783345,217783345,0,,,,,,,,,,,,,
Rekkehus,Eier (Selveier),2,65,65,1,1998,,1950000,https://www.finn.no/realestate/homes/ad.html?finnkode=239228597,239228597,0,,,,,,3,,,,,,,
Leilighet,Andel,1,45,,1,1958,G - oransje,1850000,https://www.finn.no/realestate/homes/ad.html?finnkode=239228537,239228537,0,,,,,,2,,,,,,,
Leilighet,Eier (Selveier),3,140,144,4,2021,D - mørkegrønn,15500000,https://www.finn.no/realestate/homes/ad.html?finnkode=239228451,239228451,0,,,,,,,,,,,,,
Leilighet,Eier (Selveier),3,,144,4,2021,,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=239223317&page=1&sort=PUBLISHED_DESC,239223317,1,,,,,,,,,,,,,
Leilighet,Aksje,1,60,60,3,1934,G - mørkegrønn,5250000,https://www.finn.no/realestate/homes/ad.html?finnkode=237608867,237608867,0,,,,,,,,,,,,,
Leilighet,Andel,1,47,47,1,1974,F - rød,2000000,https://www.finn.no/realestate/homes/ad.html?finnkode=239228054,239228054,0,,,,,,,,,,,,,
Leilighet,Eier (Selveier),3,138,145,3,2021,C - mørkegrønn,13500000,https://www.finn.no/realestate/homes/ad.html?finnkode=239214380,239214380,0,,,,,,,,,,,,,
Leilighet,Andel,1,57,66,2,1979,F - rød,2470000,https://www.finn.no/realestate/homes/ad.html?finnkode=239227732,239227732,0,,,,,,,,,,,,,
Leilighet,Eier (Selveier),3,118,118,2,2018,D - oransje,3950000,https://www.finn.no/realestate/homes/ad.html?finnkode=239118701,239118701,0,,,,,,,,,,,,,
Enebolig,Eier (Selveier),3,143,166,,1936,,7900000,https://www.finn.no/realestate/homes/ad.html?finnkode=239227228,239227228,0,,,,425,175,,,,,,,,
Leilighet,Eier (Selveier),1,44,44,2,1894,F - rød,4790000,https://www.finn.no/realestate/homes/ad.html?finnkode=234466315,234466315,0,,,,,,,,,,,,,
Enebolig,Eier (Selveier),3,114,114,2,1983,,2790000,https://www.finn.no/realestate/homes/ad.html?finnkode=239160041,239160041,0,,,,,,4,,,,,,,
