Finn_bolig_endret
Boligtype;Eieform bolig;Soverom;Primærrom;Bruksareal;Etasje;Byggeår;Energimerking;Pris;URL;ID;Nybygg;Enhetsid;Solforhold;Utendørsareal;Tomteareal;Bruttoareal;Rom;Ant etasjer;Tomt;Renovert år;Areal;Boligselgerforsikring;Grunnflate;Festeavgift
Leilighet;Andel;2;72;76;3;2004;D - rød;3990000;https://www.finn.no/realestate/homes/ad.html?finnkode=238501420;238501420;0;;;;;;;;;;;;;
Tomannsbolig;Eier (Selveier);4;142;142;1;1939;F - oransje;3150000;https://www.finn.no/realestate/homes/ad.html?finnkode=221318361;221318361;0;;;;;;;;;;;;;
Enebolig;Eier (Selveier);4;149;151;;1902;G - oransje;2590000;https://www.finn.no/realestate/homes/ad.html?finnkode=238926933;238926933;0;;;;211;;;;;;;;;
Leilighet;Eier (Selveier);3;90;90;2;1989;E - rød;7990000;https://www.finn.no/realestate/homes/ad.html?finnkode=238174949;238174949;0;;;;;;;;;;;;;
Enebolig;Eier (Selveier);4;131;207;2;1955;G - oransje;2100000;https://www.finn.no/realestate/homes/ad.html?finnkode=228813483;228813483;0;;;;;;;;;;;;;
Tomannsbolig;Eier (Selveier);3;260;290;3;1906;G - gul;13500000;https://www.finn.no/realestate/homes/ad.html?finnkode=238926916;238926916;0;;;;;;;;;;;;;
Enebolig;Eier (Selveier);5;208;238;;1981;;2890000;https://www.finn.no/realestate/homes/ad.html?finnkode=238928668;238928668;0;;;;672;;7;;;;;;;
Leilighet;Eier (Selveier);2;93;101;;1989;E - rød;8250000;https://www.finn.no/realestate/homes/ad.html?finnkode=235378278;235378278;0;;;;;;3;;;;;;;
Leilighet;Eier (Selveier);2;75;75;1;2002;E - rød;5500000;https://www.finn.no/realestate/homes/ad.html?finnkode=238915473;238915473;0;;;;;;;;;;;;;
Leilighet;Andel;3;89;89;4;1970;G - rød;2590000;https://www.finn.no/realestate/homes/ad.html?finnkode=238927519;238927519;0;;;;;;;;;;;;;
Leilighet;Eier (Selveier);3;132;135;5;1980;;7290000;https://www.finn.no/realestate/homes/ad.html?finnkode=238927714;238927714;0;;;;2015;;;;;;;;;
Enebolig;Eier (Selveier);4;354;490;3;1887;;2650000;https://www.finn.no/realestate/homes/ad.html?finnkode=238911650;238911650;0;;;;;;9;;;;;;;
Enebolig;Eier (Selveier);3;134;143;;2005;D - oransje;4400000;https://www.finn.no/realestate/homes/ad.html?finnkode=238927531;238927531;0;;;;934;;;;;;;;;
Leilighet;Eier (Selveier);3;80;84;;2015;;1590000;https://www.finn.no/realestate/homes/ad.html?finnkode=238927285;238927285;0;;;;;;;;Eiet;;;Ja;;
Enebolig;Eier (Selveier);4;112;112;;1885;;7400000;https://www.finn.no/realestate/homes/ad.html?finnkode=238886398;238886398;0;;;;94;;6;;;;;;;
Enebolig;Eier (Selveier);;135;173;;1969;G - gul;3800000;https://www.finn.no/realestate/homes/ad.html?finnkode=238927082;238927082;0;;;;605;192;;;;;;;;
Leilighet;Andel;2;87;87;2;1973;F - rød;4250000;https://www.finn.no/realestate/homes/ad.html?finnkode=238823862;238823862;0;;;;;;;;;;;;;
Rekkehus;Eier (Selveier);3;166;204;3;2014;B - rød;5190000;https://www.finn.no/realestate/homes/ad.html?finnkode=238926833;238926833;0;;;;;;;;;;;;;
Leilighet;Andel;2;58;58;3;2009;C - mørkegrønn;2450000;https://www.finn.no/realestate/homes/ad.html?finnkode=230233459;230233459;0;;;;;;;;;;;;;
Leilighet;Andel;1;45;45;5;2007;E - lysegrønn;3400000;https://www.finn.no/realestate/homes/ad.html?finnkode=238926325;238926325;0;;;;;;;;;;;;;
Enebolig;Eier (Selveier);3;98;190;;1959;G - gul;3400000;https://www.finn.no/realestate/homes/ad.html?finnkode=231475772;231475772;0;;;;;;;;Eiet;;;;;
Enebolig;Eier (Selveier);4;160;160;2;1982;;3100000;https://www.finn.no/realestate/homes/ad.html?finnkode=238926249;238926249;0;;;;;;6;;;;;;;
Enebolig;Eier (Selveier);2;141;226;;1969;;4200000;https://www.finn.no/realestate/homes/ad.html?finnkode=238815282;238815282;0;;;;778;247;;;;;;;;
Leilighet;Eier (Selveier);2;70;70;;2020;B - rød;3290000;https://www.finn.no/realestate/homes/ad.html?finnkode=238926001;238926001;0;;;;12894;;;;;;;;;
Garasje/Parkering;Eier (Selveier);;13;13;;1988;;500000;https://www.finn.no/realestate/homes/ad.html?finnkode=238925791;238925791;0;;;;;13;;;Eiet;;;;;
Leilighet;Eier (Selveier);3;107;110;;2003;;4400000;https://www.finn.no/realestate/homes/ad.html?finnkode=238925794;238925794;0;;;;7964;;;;;;;Ja;;
Tomannsbolig;Eier (Selveier);5;298;468;;1939;G - gul;12750000;https://www.finn.no/realestate/homes/ad.html?finnkode=238802751;238802751;0;;;;;;9;;;;;;;
Gårdsbruk/Småbruk;Eier (Selveier);4;214;243;3;1996;;15000000;https://www.finn.no/realestate/homes/ad.html?finnkode=238525698;238525698;0;;;;;;5;;;;;;;
Rekkehus;Eier (Selveier);3;93;114;;1964;;2550000;https://www.finn.no/realestate/homes/ad.html?finnkode=238925336;238925336;0;;;;77;;;;;;;;;677
Leilighet;Andel;1;52;52;7;1978;E - rød;4450000;https://www.finn.no/realestate/homes/ad.html?finnkode=238367471;238367471;0;;;;;;;;;;;;;
Leilighet;Andel;;79;79;2;1965;G - rød;1850000;https://www.finn.no/realestate/homes/ad.html?finnkode=238925175;238925175;0;;;;2979;;;;;;;;;
Leilighet;Eier (Selveier);3;78;78;2;2005;E - rød;5950000;https://www.finn.no/realestate/homes/ad.html?finnkode=238916872;238916872;0;;;;;;;;;;;;;
Leilighet;Eier (Selveier);2.0;73.5;;;2021;;3690000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238922684&page=1&sort=PUBLISHED_DESC;238922684;1;;;;;;;;;;73.5;;;
Leilighet;Eier (Selveier);1;50;50;4;1948;D - rød;4300000;https://www.finn.no/realestate/homes/ad.html?finnkode=238924482;238924482;0;;;;;;;;;;;;;
Leilighet;Eier (Selveier);2;71;74;7;2020;B - mørkegrønn;5390000;https://www.finn.no/realestate/homes/ad.html?finnkode=235401109;235401109;0;;;;;;;;;;;;;
Rekkehus;Eier (Selveier);2;72;78;;1986;;1660000;https://www.finn.no/realestate/homes/ad.html?finnkode=238918525;238918525;0;;;;315;;;;;;;;78;
Leilighet;Eier (Selveier);1;29;29;1;2003;D - rød;2990000;https://www.finn.no/realestate/homes/ad.html?finnkode=238924035;238924035;0;;;;;;;;;;;;;
Leilighet;Eier (Selveier);1;;29;1;2021;;;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238818264&page=1&sort=PUBLISHED_DESC;238818264;1;;;;;;;;;;;;;
Enebolig;Eier (Selveier);4;129;134;2;1994;E - oransje;3900000;https://www.finn.no/realestate/homes/ad.html?finnkode=238923749;238923749;0;;;;;;;;;;;;;
Leilighet;Andel;2;62;65;2;2004;D - rød;890000;https://www.finn.no/realestate/homes/ad.html?finnkode=238922790;238922790;0;;;;;;;;;;;;;
Leilighet;Eier (Selveier);3;107;115;3.;2021;;7300000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238920898&page=1&sort=PUBLISHED_DESC;238920898;1;;Lyst og fint beliggende store vindusflater mot syd og med vestvendt balkong.;;;;4;5;;;;;;
Leilighet;Eier (Selveier);2.0;85.0;;;2021;;5925000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=236874843&page=1&sort=PUBLISHED_DESC;236874843;1;;;;;;;;;;85.0;;;
Enebolig;Eier (Selveier);4;445;455;;1938;G - rød;28900000;https://www.finn.no/realestate/homes/ad.html?finnkode=238922712;238922712;0;;;;1855;;;;;;;;;
Tomannsbolig;Eier (Selveier);2;79;84;1;2001;D - oransje;2990000;https://www.finn.no/realestate/homes/ad.html?finnkode=237756990;237756990;0;;;;;;;;;;;;;
Leilighet;Eier (Selveier);2;110;110;2;1993;C - rød;18000000;https://www.finn.no/realestate/homes/ad.html?finnkode=238813422;238813422;0;;;;;;;;;;;;;
Leilighet;Andel;1;54;54;2;1949;G - oransje;1350000;https://www.finn.no/realestate/homes/ad.html?finnkode=238409001;238409001;0;;;;;;;;;;;;;
Leilighet;Andel;1;66;66;1;1984;F - rød;3050000;https://www.finn.no/realestate/homes/ad.html?finnkode=238921445;238921445;0;;;;;;;;;;;;;
Leilighet;Andel;2;71;77;4;2019;C - mørkegrønn;4190000;https://www.finn.no/realestate/homes/ad.html?finnkode=238921479;238921479;0;;;;;;;;;;;;;
Leilighet;Eier (Selveier);2;68;72;1;2007;D - rød;2840000;https://www.finn.no/realestate/homes/ad.html?finnkode=233798935;233798935;0;;;;;;;;;;;;;
Leilighet;Andel;2;71;71;3;1952;F - oransje;6380000;https://www.finn.no/realestate/homes/ad.html?finnkode=238909348;238909348;0;;;;;;;;;;;;;
Leilighet;Eier (Selveier);2;58;62;3.;2021;;3690000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238920588&page=1&sort=PUBLISHED_DESC;238920588;1;3302;Vestvendt beliggenhet.;Stor terrasse med glassrekkverk. Skjermet beliggenhet inn mot takhagen.;;;;;;;;;;
Leilighet;Andel;1;43;43;1;2008;E - mørkegrønn;2300000;https://www.finn.no/realestate/homes/ad.html?finnkode=237726644;237726644;0;;;;;;;;;;;;;
Leilighet;Andel;1;20;20;5;1939;D - mørkegrønn;2700000;https://www.finn.no/realestate/homes/ad.html?finnkode=238519535;238519535;0;;;;;;;;;;;;;
Leilighet;Andel;1;170;20;5;2021;;7990000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238915507&page=2&sort=PUBLISHED_DESC;238915507;1;;;;;;;;;;;;;
Enebolig;Eier (Selveier);4;209;282;;1910;G - gul;5050000;https://www.finn.no/realestate/homes/ad.html?finnkode=235349796;235349796;0;;;;967;;;;;;;;;
Tomannsbolig;Andel;3;115;121;;1978;;1870000;https://www.finn.no/realestate/homes/ad.html?finnkode=238740119;238740119;0;;;;;;;;;;;;;
Leilighet;Eier (Selveier);0;30;33;2;2019;C - mørkegrønn;2600000;https://www.finn.no/realestate/homes/ad.html?finnkode=232999527;232999527;0;;;;;;;;;;;;;
Tomannsbolig;Eier (Selveier);3;125;170;;1900;;3800000;https://www.finn.no/realestate/homes/ad.html?finnkode=238901290;238901290;0;;;;775;198;;;;;;;;
