Pris,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,URL,ID,Dager siden annonse,Nybygg,Fylke,Omkostninger,Totalpris,Kommunale avg.,Formuesverdi,Tomteareal,Aircondition,Alarm,Balkong/Terrasse,Takterasse,Barnevennlig,Bredbåndstilknytning,Fellesvaskeri,Garasje/P-plass,Heis,Ingen gjenboerer,Kabel-TV,Lademulighet,Livsløpsstandard,Moderne,Offentlig vann/kloakk,Parkett,Peis/Ildsted,Rolig,Sentralt,Utsikt,Vaktmester-/vektertjeneste,Bademulighet,Fiskemulighet,Turterreng
3950000,Leilighet,Andel,1,40,,5,1963,E - mørkegrønn,https://www.finn.no/realestate/homes/ad.html?finnkode=245965766,245965766,0:00:00,0,Oslo,15676,3990676,,810000,,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1
8900000,Enebolig,Eier (Selveier),3,100,100,,1895,G - rød,https://www.finn.no/realestate/homes/ad.html?finnkode=246176783,246176783,0:00:00,0,Oslo,233269,9204193,,,647,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0
10104500.0,Rekkehus,Eier (Selveier),3,155,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=201362697&location=0.20061&page=1&sort=PUBLISHED_DESC,201362697,0:00:00,1,Oslo,33812,988281210393812,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
2850000.0,Leilighet,Andel,1.5,50.0,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=200397394&location=0.20061&page=1&sort=PUBLISHED_DESC,200397394,0:00:00,1,Oslo,33660,47836606233660,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7890000.0,Leilighet,Eier (Selveier),2.5,90.0,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=181092106&location=0.20061&page=1&sort=PUBLISHED_DESC,181092106,0:00:00,1,Oslo,4389054140,66338909244140,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100000,Leilighet,Andel,2,74,74,4,1971,F - rød,https://www.finn.no/realestate/homes/ad.html?finnkode=246077957,246077957,"1 day, 0:00:00",0,Oslo,8776,5178776,,1108097,45687,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1
4400000,Leilighet,Andel,1,52,52,4,1954,G - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=240160625,240160625,"1 day, 0:00:00",0,Oslo,9276,4579699,,935100,33412,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1
7500000,Leilighet,Andel,2,78,78,2,1986,E - rød,https://www.finn.no/realestate/homes/ad.html?finnkode=246154411,246154411,0:00:00,0,Oslo,16153,7516153,,1360292,1930,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0
11650000,Leilighet,Eier (Selveier),3,98,98,6,2012,B - mørkegrønn,https://www.finn.no/realestate/homes/ad.html?finnkode=246147605,246147605,0:00:00,0,Oslo,302792,11952792,,1905997,7702,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0
3080000,Leilighet,Andel,3,78,81,5,2021,C - mørkegrønn,https://www.finn.no/realestate/homes/ad.html?finnkode=238059559,238059559,0:00:00,0,Oslo,15554,6118154,,,,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1
