Pris,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,URL,ID,Dager siden annonse,Nybygg,Fylke,Omkostninger,Totalpris,Kommunale avg.,Formuesverdi,Tomteareal,Aircondition,Alarm,Balkong/Terrasse,Takterasse,Barnevennlig,Bredbåndstilknytning,Fellesvaskeri,Garasje/P-plass,Heis,Ingen gjenboerer,Kabel-TV,Lademulighet,Livsløpsstandard,Moderne,Offentlig vann/kloakk,Parkett,Peis/Ildsted,Rolig,Sentralt,Utsikt,Vaktmester-/vektertjeneste,Bademulighet,Fiskemulighet,Turterreng
2490000,Leilighet,Andel,1,47,51,4,1965,G - rød,https://www.finn.no/realestate/homes/ad.html?finnkode=245655745,245655745,"1 day, 0:00:00",0,Trøndelag,12704,2623894,,637428,88842,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
5750000,Enebolig,Eier (Selveier),4,180,182,,1940,G - gul,https://www.finn.no/realestate/homes/ad.html?finnkode=246180041,246180041,0:00:00,0,Trøndelag,156692,5906692,21892,523713,5349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2290000,Leilighet,Andel,1,44,44,1,1963,G - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=246178559,246178559,0:00:00,0,Trøndelag,8604,2413979,,603901,3912,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1
3100000,Leilighet,Andel,1,62,62,3,1972,G - rød,https://www.finn.no/realestate/homes/ad.html?finnkode=245376763,245376763,0:00:00,0,Trøndelag,8776,3203339,,843000,9448,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1
3790000,Leilighet,Eier (Selveier),2,63,66,1.,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=246169997&location=0.20016&page=1&sort=PUBLISHED_DESC,246169997,0:00:00,1,Trøndelag,,,,,,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
10450000,Leilighet,Eier (Selveier),2,109,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=162665732&location=0.20016&page=1&sort=PUBLISHED_DESC,162665732,0:00:00,1,Trøndelag,62620,10512620,,,,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
947500.0,Leilighet,Andel,1,68,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=181092334&location=0.20016&page=1&sort=PUBLISHED_DESC,181092334,0:00:00,1,Trøndelag,22865,31268653342865,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4190000,Rekkehus,Eier (Selveier),3,135,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=178021184&location=0.20016&page=1&sort=PUBLISHED_DESC,178021184,0:00:00,1,Trøndelag,7000,4197000,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3835000.0,Leilighet,Eier (Selveier),2,80.5,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=181061238&location=0.20016&page=1&sort=PUBLISHED_DESC,181061238,0:00:00,1,Trøndelag,105592143842,31755924743842,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2300000,Leilighet,Eier (Selveier),3,74,74,2,2004,,https://www.finn.no/realestate/homes/ad.html?finnkode=246158940,246158940,"1 day, 0:00:00",0,Trøndelag,66242,2366242,17146,,,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1
985000,Leilighet,Andel,,41,41,,2022,,https://www.finn.no/realestate/homes/ad.html?finnkode=246146297,246146297,0:00:00,0,Trøndelag,,,,,2823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2790000,Rekkehus,Andel,4,151,165,1,1975,F - mørkegrønn,https://www.finn.no/realestate/homes/ad.html?finnkode=246077652,246077652,"1 day, 0:00:00",0,Trøndelag,8604,3408069,,987421,68952,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1
5590000,Leilighet,Eier (Selveier),2,82,87,4,2022,,https://www.finn.no/realestate/homes/ad.html?finnkode=246090458,246090458,"1 day, 0:00:00",0,Trøndelag,,,,,,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
