Boligtype;Eieform bolig;Soverom;Primærrom;Bruksareal;Etasje;Byggeår;Energimerking;Pris;URL;ID
Leilighet;Eier (Selveier);1;54;54;5;2002;D - mørkegrønn;4850000;https://www.finn.no/realestate/homes/ad.html?finnkode=238481915;238481915
Leilighet;Eier (Selveier);1;54;54;5;2002;D - mørkegrønn;4265000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238912766&page=1&sort=PUBLISHED_DESC;238912766
Leilighet;Eier (Selveier);2;86;93;4;2014;D - mørkegrønn;3790000;https://www.finn.no/realestate/homes/ad.html?finnkode=214188001;214188001
Enebolig;Eier (Selveier);3;155;246;;1969;F - gul;2990000;https://www.finn.no/realestate/homes/ad.html?finnkode=238912287;238912287
Enebolig;Eier (Selveier);3;89;89;;1986;E - gul;2990000;https://www.finn.no/realestate/homes/ad.html?finnkode=238910655;238910655
Leilighet;Eier (Selveier);2;86;89;4;1976;D - mørkegrønn;4890000;https://www.finn.no/realestate/homes/ad.html?finnkode=238910334;238910334
Annet fritid;Eier (Selveier);2;45;56;;1967;G - oransje;1750000;https://www.finn.no/realestate/homes/ad.html?finnkode=238909452;238909452
Leilighet;Eier (Selveier);;30;30;;2005;C - rød;2290000;https://www.finn.no/realestate/homes/ad.html?finnkode=238909336;238909336
Enebolig;Eier (Selveier);2;178;186;2;1980;F - rød;7500000;https://www.finn.no/realestate/homes/ad.html?finnkode=236012887;236012887
Rekkehus;Andel;3;135;142;;1969;G - oransje;2950000;https://www.finn.no/realestate/homes/ad.html?finnkode=238907857;238907857
Leilighet;Eier (Selveier);1;102;102;6;1931;G - mørkegrønn;8650000;https://www.finn.no/realestate/homes/ad.html?finnkode=230699720;230699720
Leilighet;Eier (Selveier);1;45;45;2;1951;G - oransje;3620000;https://www.finn.no/realestate/homes/ad.html?finnkode=232235549;232235549
Enebolig;Eier (Selveier);8;262;276;;1978;E - oransje;4500000;https://www.finn.no/realestate/homes/ad.html?finnkode=238908270;238908270
Leilighet;Andel;2;56;60;4;2021;C - mørkegrønn;1180000;https://www.finn.no/realestate/homes/ad.html?finnkode=235445685;235445685
Leilighet;Andel;2;56;60;4;2021;C - mørkegrønn;6600000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238907983&page=1&sort=PUBLISHED_DESC;238907983
Leilighet;Andel;2;77;93;4;1972;G - mørkegrønn;1125000;https://www.finn.no/realestate/homes/ad.html?finnkode=238907941;238907941
Leilighet;Andel;2;71;74;2;2003;;2590000;https://www.finn.no/realestate/homes/ad.html?finnkode=238907692;238907692
Leilighet;Andel;2;71;74;2;2003;;2590000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238907392&page=1&sort=PUBLISHED_DESC;238907392
Leilighet;Eier (Selveier);2;92;100;4;2019;C - mørkegrønn;4950000;https://www.finn.no/realestate/homes/ad.html?finnkode=235377022;235377022
Leilighet;Andel;1;52;55;2;1982;F - rød;1500000;https://www.finn.no/realestate/homes/ad.html?finnkode=238907272;238907272
Leilighet;Eier (Selveier);2;85;88;1;2005;;3300000;https://www.finn.no/realestate/homes/ad.html?finnkode=238906898;238906898
Leilighet;Eier (Selveier);1;38;38;2;2020;;3190000;https://www.finn.no/realestate/homes/ad.html?finnkode=238904468;238904468
Leilighet;Eier (Selveier);2;72;72;1;1932;G - rød;3700000;https://www.finn.no/realestate/homes/ad.html?finnkode=238906788;238906788
Leilighet;Eier (Selveier);2;72;72;1;1932;G - rød;6190000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238906654&page=1&sort=PUBLISHED_DESC;238906654
Enebolig;Eier (Selveier);3;188;190;;1970;;4500000;https://www.finn.no/realestate/homes/ad.html?finnkode=238906403;238906403
Leilighet;Andel;1;60;72;4;1955;G - mørkegrønn;3200000;https://www.finn.no/realestate/homes/ad.html?finnkode=238500700;238500700
Tomannsbolig;Eier (Selveier);3;84;84;;2018;B - rød;3125000;https://www.finn.no/realestate/homes/ad.html?finnkode=231089867;231089867
Leilighet;Andel;2;74;74;3;1895;G - oransje;5800000;https://www.finn.no/realestate/homes/ad.html?finnkode=238906164;238906164
Enebolig;Eier (Selveier);5;333;360;;1996;E - gul;12700000;https://www.finn.no/realestate/homes/ad.html?finnkode=232197179;232197179
Leilighet;Eier (Selveier);1;43;43;2;2010;C - rød;3990000;https://www.finn.no/realestate/homes/ad.html?finnkode=224100065;224100065
Leilighet;Andel;2;65;65;1;1950;G - oransje;1250000;https://www.finn.no/realestate/homes/ad.html?finnkode=238904884;238904884
Leilighet;Eier (Selveier);1;46;48;3;1998;D - rød;2300000;https://www.finn.no/realestate/homes/ad.html?finnkode=238818633;238818633
Enebolig;Eier (Selveier);7;242;314;;1983;E - gul;4950000;https://www.finn.no/realestate/homes/ad.html?finnkode=238904484;238904484
Rekkehus;Eier (Selveier);3;93;98;2;1982;F - oransje;4650000;https://www.finn.no/realestate/homes/ad.html?finnkode=238853897;238853897
Enebolig;Eier (Selveier);6;315;323;;1975;F - oransje;23600000;https://www.finn.no/realestate/homes/ad.html?finnkode=221272054;221272054
Enebolig;Eier (Selveier);;247;264;;2010;C - oransje;16950000;https://www.finn.no/realestate/homes/ad.html?finnkode=230381147;230381147
Leilighet;Eier (Selveier);2;73;73;1;2006;D - rød;4600000;https://www.finn.no/realestate/homes/ad.html?finnkode=237308669;237308669
Leilighet;Eier (Selveier);2;109;109;3;1874;G - rød;3390000;https://www.finn.no/realestate/homes/ad.html?finnkode=238903805;238903805
Leilighet;Andel;2;93;106;3;2013;;2800000;https://www.finn.no/realestate/homes/ad.html?finnkode=229107450;229107450
Leilighet;Eier (Selveier);3;82;82;2;1958;B - gul;5000000;https://www.finn.no/realestate/homes/ad.html?finnkode=238823836;238823836
Leilighet;Andel;2;86;86;1;1861;;2150000;https://www.finn.no/realestate/homes/ad.html?finnkode=238827695;238827695
Enebolig;Eier (Selveier);;88;88;;1885;G - gul;2790000;https://www.finn.no/realestate/homes/ad.html?finnkode=238903034;238903034
